,mains,oven,refrigerator,dishwaser,kitchen_outlets,kitchen_outlets,kitchen_outlets,kitchen_outlets,lighting,lighting,lighting,washer,microwave,bathroom_gfi,electric_heat,stove,dryer
0,341.03,0,6,0,34,21,2,0,81,65,46,0,5,1,0,0,0
0.01,344.46,0,6,0,38,22,1,0,82,65,46,0,5,1,0,0,0
0.02,345.12,0,6,0,36,24,1,0,81,65,46,0,5,1,0,0,0
0.03,340.39,2.5,5,2,32,23,3,0,81,64,47,0,4,0,0,0,5
0.04,346.7,0,6,0,36,24,1,0,81,65,46,0,5,1,0,0,0
0.05,337.87,0,6,0,31,24,1,0,81,65,45,0,5,1,0,0,0
0.06,337.6,0,6,0,32,21,2,0,81,65,45,0,5,1,0,0,0
0.07,339.09,0,6,0,34,21,1,0,81,65,45,0,5,1,0,0,0
0.08,341.43,0,6,0,34,22,1,0,80,65,45,0,5,1,0,0,0
0.09,339.44,0,6,0,34,21,1,0,81,65,45,0,5,1,0,0,0
0.1,339.87,0,6,1,36,21,1,0,80,66,45,0,5,1,0,0,0
0.11,338.76,0,6,0,35,21,1,0,80,65,45,0,4,1,0,0,0
0.12,336.5,0,6,0,34,21,1,0,80,65,45,0,5,1,0,0,0
0.13,338.54,0,6,0,34,21,1,0,80,66,45,0,5,1,0,0,0
0.14,1930.5,0,6,1,35,21,5,4,80,66,44,0,4,1623,10,8,0
0.15,1913.9,0,6,0,33,21,4,3,80,66,44,0,4,1614,10,8,0
0.16,1913.5,0,6,1,27,21,5,4,79,67,45,0,4,1617,10,9,0
0.17,329.45,0,6,1,26,21,1,0,81,65,45,0,5,1,0,0,0
0.18,328.77,0,6,0,27,21,2,0,81,66,46,0,5,1,0,0,0
0.19,251.21,0,6,0,29,21,1,0,81,0,45,0,4,1,0,0,0
0.2,252.13,0,6,0,26,22,1,0,81,0,45,0,4,1,0,0,0
0.21,244.97,0,6,0,24,21,1,0,81,0,45,0,4,1,0,0,0
0.22,247.3,0,6,0,28,21,1,0,81,0,45,0,4,1,0,0,0
0.23,246.21,0,7,0,25,21,1,0,80,0,45,0,4,1,0,0,0
0.24,244.91,0,6,1,24,21,1,0,80,0,45,0,4,1,0,0,0
0.25,245.38,0,6,0,25,21,1,0,81,0,45,0,4,1,0,0,0
0.26,250.13,0,6,0,25,21,1,0,81,0,45,0,4,1,0,0,0
0.27,243.67,0,6,0,25,21,1,0,81,0,45,0,4,1,0,0,0
0.28,243.01,0,6,0,22,21,1,0,80,0,45,0,4,1,0,0,0
0.29,245.06,0,6,0,25,21,2,0,80,0,45,0,4,1,0,0,0
0.3,243.56,0,6,0,23,21,1,0,81,0,45,0,4,1,0,0,0
0.31,242.83,0,6,0,22,21,1,0,81,0,45,0,4,1,0,0,0
0.32,243.71,0,6,0,23,21,1,0,80,0,45,0,4,1,0,0,0
0.33,244.99,0,6,0,26,21,1,0,80,0,45,0,4,1,0,0,0
0.34,241.43,0,6,0,22,21,1,0,80,0,45,0,4,1,0,0,0
0.35,247.03,0,6,0,24,21,1,0,80,0,45,0,4,1,0,0,0
0.36,242.29,0,6,0,23,21,1,0,80,0,45,0,4,1,0,0,0
0.37,240.28,0,6,1,24,21,1,0,80,0,45,0,4,1,0,0,0
0.38,241.34,0,6,0,21,21,1,0,80,0,45,0,4,1,0,0,0
0.39,242.13,0,6,0,21,21,1,0,80,0,45,0,4,1,0,0,0
0.4,240.23,0,6,0,21,21,2,0,80,0,45,0,4,1,0,0,0
0.41,245.26,0,6,0,23,21,1,0,80,0,45,0,4,1,0,0,0
0.42,245.88,0,6,0,25,21,1,0,80,0,45,0,4,1,0,0,0
0.43,243.85,0,6,0,21,21,1,0,80,0,45,0,4,1,0,0,0
0.44,466.32,0,234,0,23,20,1,0,81,0,45,0,4,1,0,0,0
